Identifier	seqid	gene_id	strand	start	end	width	gc	isPresent	log2 Ratio	pValue	fdr	wt_1 [normalized count]	wt_2 [normalized count]	mut_1 [normalized count]	mut_2 [normalized count]	wt_1 [FPKM]	wt_2 [FPKM]	mut_1 [FPKM]	mut_2 [FPKM]
YPR001W	XVI	YPR001W	+	556377	557837	1461	0.412	FALSE	-0.2148	0.7807	NA	4.11	2.922	3.008	2.99	574.8	416	429.6	423.9
YJL020C	X	YJL020C	-	398937	402410	3474	0.4329	FALSE	-0.2148	0.7807	NA	3.083	3.896	2.005	3.986	181.3	233.3	120.4	237.7
YGR098C	VII	YGR098C	-	682566	687458	4893	0.3485	FALSE	-0.2148	0.7807	NA	3.083	3.896	3.008	2.99	128.7	165.6	128.3	126.6
YDR341C	IV	YDR341C	-	1151803	1153626	1824	0.3871	FALSE	-0.2148	0.7807	NA	1.028	5.844	4.01	1.993	115.1	666.4	458.8	226.4
YIL036W	IX	YIL036W	+	285666	287429	1764	0.4031	FALSE	-0.2148	0.7807	NA	1.028	5.844	4.01	1.993	119	689.1	474.4	234.1
YMR091C	XIII	YMR091C	-	450058	451365	1308	0.3922	FALSE	0.2134	0.7821	NA	2.055	3.896	5.013	1.993	321	619.6	799.7	315.7
YOL002C	XV	YOL002C	-	323411	324364	954	0.3711	FALSE	0.2134	0.7821	NA	3.083	2.922	5.013	1.993	660.2	637.1	1096	432.8
YGL206C	VII	YGL206C	-	102543	107504	4962	0.374	FALSE	0.2134	0.7821	NA	4.11	1.948	4.01	2.99	169.2	81.66	168.6	124.8
YGL156W	VII	YGL156W	+	210416	213667	3252	0.3881	FALSE	-0.2994	0.7858	NA	1.028	3.896	0	3.986	64.56	249.2	0	253.9
YPL219W	XVI	YPL219W	+	136750	138228	1479	0.3976	FALSE	-0.2936	0.7877	NA	0	4.87	2.005	1.993	0	684.9	282.9	279.2
YMR001C	XIII	YMR001C	-	269019	271136	2118	0.3692	FALSE	-0.1871	0.7954	NA	4.11	3.896	2.005	4.983	396.5	382.6	197.5	487.3
YOR130C	XV	YOR130C	-	569929	570807	879	0.4164	FALSE	-0.1871	0.7954	NA	4.11	3.896	4.01	2.99	955.4	921.9	952	704.6
ICR1	IX	ICR1	-	393884	397082	3199	0.3886	FALSE	0.1857	0.7969	NA	3.083	3.896	2.005	5.98	196.9	253.3	130.8	387.2
YNL223W	XIV	YNL223W	+	227370	228854	1485	0.3939	FALSE	0.1857	0.7969	NA	5.138	1.948	3.008	4.983	706.9	272.9	422.6	695.1
YNL249C	XIV	YNL249C	-	179394	181022	1629	0.3659	FALSE	-0.1658	0.8076	NA	4.11	4.87	5.013	2.99	515.5	621.8	642.1	380.2
YKL132C	XI	YKL132C	-	193574	194866	1293	0.4006	FALSE	0.2515	0.8091	NA	2.055	2.922	0	5.98	324.8	470.1	0	958
YDR021W	IV	YDR021W	+	486804	488003	1200	0.3525	FALSE	0.1644	0.8092	NA	2.055	5.844	4.01	4.983	349.9	1013	697.4	860.2
YER080W	V	YER080W	+	319963	321846	1884	0.3726	FALSE	0.1644	0.8092	NA	5.138	2.922	3.008	5.98	557.2	322.6	333.1	657.5
YPL260W	XVI	YPL260W	+	49303	50958	1656	0.3738	FALSE	0.1647	0.8146	NA	3.083	4.87	2.005	6.976	380.3	611.7	252.7	872.6
YBR129C	II	YBR129C	-	494353	495339	987	0.3739	FALSE	-0.1488	0.8178	NA	5.138	4.87	5.013	3.986	1064	1026	1060	836.6
YER086W	V	YER086W	+	328477	330207	1731	0.4113	FALSE	-0.1488	0.8178	NA	3.083	6.818	4.01	4.983	363.9	819.3	483.4	596.3
YFR040W	VI	YFR040W	+	234242	237250	3009	0.3649	FALSE	0.1474	0.8194	NA	4.11	4.87	6.015	3.986	279.1	336.6	417.2	274.4
YER005W	V	YER005W	+	160550	162442	1893	0.411	FALSE	0.1474	0.8195	NA	5.138	3.896	6.015	3.986	554.5	428.1	663.1	436.2
YOL085C	XV	YOL085C	-	161673	162014	342	0.4942	FALSE	-0.135	0.8264	NA	5.138	5.844	2.005	7.973	3069	3554	1223	4829
YDR301W	IV	YDR301W	+	1063352	1067425	4074	0.3741	FALSE	-0.135	0.8265	NA	4.11	6.818	4.01	5.98	206.1	348.1	205.4	304
YJL207C	X	YJL207C	-	41389	47433	6045	0.3481	FALSE	0.1336	0.8282	NA	5.138	4.87	10.03	0.9966	173.7	167.6	346.1	34.15
YIL107C	IX	YIL107C	-	163278	165761	2484	0.3752	FALSE	0.1336	0.8282	NA	5.138	4.87	6.015	4.983	422.6	407.8	505.3	415.5
YDL024C	IV	YDL024C	-	408451	409857	1407	0.3987	FALSE	-0.1236	0.8339	NA	8.22	3.896	4.01	6.976	1194	576	594.8	1027
YGR010W	VII	YGR010W	+	511545	512732	1188	0.4074	FALSE	-0.1236	0.8339	NA	6.165	5.844	5.013	5.98	1060	1023	880.5	1043
YNL091W	XIV	YNL091W	+	452408	456130	3723	0.3938	FALSE	0.1222	0.8358	NA	4.11	6.818	5.013	6.976	225.6	380.9	281	388.2
YOR316C	XV	YOR316C	-	906236	907555	1320	0.4152	FALSE	-0.1139	0.8405	NA	6.165	6.818	6.015	5.98	954.3	1074	950.9	938.4
YDL036C	IV	YDL036C	-	387513	388901	1389	0.3844	FALSE	0.1043	0.8484	NA	7.193	5.844	9.023	4.983	1058	875.1	1356	743.1
YER040W	V	YER040W	+	229795	231987	2193	0.4058	FALSE	-0.09856	0.8516	NA	7.193	7.792	8.02	5.98	670.2	739.1	763.2	564.8
YDR110W	IV	YDR110W	+	676102	677802	1701	0.3751	FALSE	0.07626	0.8707	NA	8.22	9.74	10.03	8.97	987.4	1191	1230	1092
YPR010C	XVI	YPR010C	-	577585	581196	3612	0.3984	FALSE	0.01023	0.9918	NA	0	5.844	1.003	4.983	0	336.5	57.92	285.8
YGL208W	VII	YGL208W	+	97338	98585	1248	0.4519	FALSE	-0.01325	0.9926	NA	3.083	0	3.008	0	504.7	0	502.9	0
YNL274C	XIV	YNL274C	-	121118	122170	1053	0.4255	FALSE	-0.01316	0.9927	NA	3.083	0	3.008	0	598.2	0	596	0
YJR078W	X	YJR078W	+	578860	580221	1362	0.4523	FALSE	-0.0131	0.9927	NA	3.083	0	3.008	0	462.4	0	460.8	0
YDR409W	IV	YDR409W	+	1289406	1292120	2715	0.393	FALSE	-0.006549	0.9952	NA	4.11	0	1.003	2.99	309.3	0	77.06	228.1
YLL019C	XII	YLL019C	-	105686	107899	2214	0.4201	FALSE	-0.006348	0.9953	NA	4.11	0	1.003	2.99	379.3	0	94.49	279.7
YPR032W	XVI	YPR032W	+	634123	637224	3102	0.3926	FALSE	-0.006132	0.9961	NA	3.083	0	1.003	1.993	203	0	67.44	133.1
YER184C	V	YER184C	-	556296	558680	2385	0.3816	FALSE	-0.005315	0.9962	NA	3.083	0.974	0	3.986	264.1	84.94	0	346.2
YDL159W	IV	YDL159W	+	172481	174028	1548	0.3824	FALSE	-0.005637	0.9964	NA	3.083	0	2.005	0.9966	406.9	0	270.3	133.4
YER023W	V	YER023W	+	201076	201936	861	0.4541	FALSE	-0.005526	0.9964	NA	3.083	0	2.005	0.9966	731.5	0	486	239.8
YGL045W	VII	YGL045W	+	414102	415730	1629	0.4138	FALSE	-0.005371	0.9965	NA	3.083	0	2.005	0.9966	386.7	0	256.9	126.7
YBR102C	II	YBR102C	-	445062	447323	2262	0.3798	FALSE	-0.006552	0.9965	NA	2.055	0	0	1.993	185.6	0	0	182.5
YBR148W	II	YBR148W	+	537876	539705	1830	0.3546	FALSE	-0.006552	0.9965	NA	2.055	0	0	1.993	229.5	0	0	225.6
YFL049W	VI	YFL049W	+	36803	38674	1872	0.3798	FALSE	-0.006552	0.9965	NA	2.055	0	0	1.993	224.3	0	0	220.6
YJL084C	X	YJL084C	-	274862	278002	3141	0.3852	FALSE	-0.006552	0.9965	NA	2.055	0	0	1.993	133.7	0	0	131.4
YOL137W	XV	YOL137W	+	65621	67114	1494	0.3815	FALSE	-0.006552	0.9965	NA	2.055	0	0	1.993	281.1	0	0	276.4
YOR001W	XV	YOR001W	+	326832	329033	2202	0.3847	FALSE	-0.006552	0.9965	NA	2.055	0	0	1.993	190.7	0	0	187.5
YPL037C	XVI	YPL037C	-	481428	481901	474	0.4494	FALSE	-0.006552	0.9965	NA	2.055	0	0	1.993	885.9	0	0	871.1
YHL036W	VIII	YHL036W	+	26241	27881	1641	0.4022	FALSE	-0.005219	0.9966	NA	3.083	0	2.005	0.9966	383.8	0	255	125.8
YML010W	XIII	YML010W	+	247677	250868	3192	0.4326	FALSE	-0.005071	0.9967	NA	3.083	0	2.005	0.9966	197.3	0	131.1	64.67
YNL134C	XIV	YNL134C	-	372451	373581	1131	0.4385	FALSE	-0.004963	0.9968	NA	3.083	0	2.005	0.9966	556.9	0	369.9	182.5
YBL105C	II	YBL105C	-	14241	17696	3456	0.3886	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	121.5	0	60.53	59.73
YDL085W	IV	YDL085W	+	303211	304848	1638	0.4359	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	256.4	0	127.7	126
YDR108W	IV	YDR108W	+	671269	673365	2097	0.3715	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	200.2	0	99.76	98.45
YER090W	V	YER090W	+	337949	339472	1524	0.3963	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	275.5	0	137.3	135.5
YFR026C	VI	YFR026C	-	205748	206257	510	0.4157	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	823.3	0	410.2	404.8
YGR262C	VII	YGR262C	-	1016974	1017759	786	0.4288	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	534.2	0	266.2	262.6
YHL020C	VIII	YHL020C	-	66242	67456	1215	0.4823	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	345.6	0	172.2	169.9
YHR167W	VIII	YHR167W	+	439342	440127	786	0.3842	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	534.2	0	266.2	262.6
YJL198W	X	YJL198W	+	60844	63489	2646	0.4169	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	158.7	0	79.06	78.02
YJL082W	X	YJL082W	+	281185	283380	2196	0.4007	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	191.2	0	95.27	94.01
YJR126C	X	YJR126C	-	656254	658689	2436	0.4056	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	172.4	0	85.88	84.75
YKL165C	XI	YKL165C	-	137932	140691	2760	0.3609	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	152.1	0	75.8	74.8
YLR305C	XII	YLR305C	-	738161	743863	5703	0.384	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	73.63	0	36.68	36.2
YNL132W	XIV	YNL132W	+	375321	378491	3171	0.3851	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	132.4	0	65.97	65.1
YOL056W	XV	YOL056W	+	223268	224179	912	0.4046	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	460.4	0	229.4	226.4
YOR284W	XV	YOR284W	+	848478	849209	732	0.3702	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	573.6	0	285.8	282
YPL033C	XVI	YPL033C	-	487362	488207	846	0.3381	FALSE	-0.005976	0.9968	NA	2.055	0	1.003	0.9966	496.3	0	247.3	244
YBR256C	II	YBR256C	-	727386	728102	717	0.3849	FALSE	-0.005399	0.9971	NA	2.055	0	2.005	0	585.6	0	583.6	0
YDR359C	IV	YDR359C	-	1191936	1194884	2949	0.4001	FALSE	-0.005399	0.9971	NA	2.055	0	2.005	0	142.4	0	141.9	0
YGL146C	VII	YGL146C	-	228751	229686	936	0.4199	FALSE	-0.005399	0.9971	NA	2.055	0	2.005	0	448.6	0	447	0
YHR088W	VIII	YHR088W	+	281495	282382	888	0.3671	FALSE	-0.005399	0.9971	NA	2.055	0	2.005	0	472.9	0	471.2	0
YJL186W	X	YJL186W	+	80155	81915	1761	0.4123	FALSE	-0.005399	0.9971	NA	2.055	0	2.005	0	238.4	0	237.6	0
YKR051W	XI	YKR051W	+	530946	532202	1257	0.3739	FALSE	-0.005399	0.9971	NA	2.055	0	2.005	0	334.1	0	332.9	0
YMR314W	XIII	YMR314W	+	901709	902413	705	0.4397	FALSE	-0.005399	0.9971	NA	2.055	0	2.005	0	595.6	0	593.5	0
YOR177C	XV	YOR177C	-	665785	667179	1395	0.362	FALSE	-0.005399	0.9971	NA	2.055	0	2.005	0	301	0	299.9	0
YBR272C	II	YBR272C	-	746361	747803	1443	0.3673	FALSE	0.00503	0.9974	NA	0	1.948	2.005	0	0	280.8	290	0
YEL047C	V	YEL047C	-	65385	66797	1413	0.4367	FALSE	0.00503	0.9974	NA	0	1.948	2.005	0	0	286.8	296.1	0
YGR022C	VII	YGR022C	-	529257	529586	330	0.4636	FALSE	0.00503	0.9974	NA	0	1.948	2.005	0	0	1228	1268	0
YKL077W	XI	YKL077W	+	291453	292631	1179	0.3757	FALSE	0.00503	0.9974	NA	0	1.948	2.005	0	0	343.7	354.9	0
YMR008C	XIII	YMR008C	-	280590	282584	1995	0.4216	FALSE	0.00503	0.9974	NA	0	1.948	2.005	0	0	203.1	209.7	0
YMR127C	XIII	YMR127C	-	522329	523345	1017	0.3786	FALSE	0.00503	0.9974	NA	0	1.948	2.005	0	0	398.4	411.4	0
YNR047W	XIV	YNR047W	+	708523	711204	2682	0.4087	FALSE	0.00503	0.9974	NA	0	1.948	2.005	0	0	151.1	156	0
YPR122W	XVI	YPR122W	+	782045	785671	3627	0.3689	FALSE	0.00503	0.9974	NA	0	1.948	2.005	0	0	111.7	115.4	0
YNR011C	XIV	YNR011C	-	644320	646950	2631	0.385	FALSE	-0.003961	0.9975	NA	2.055	0.974	0	2.99	159.6	77	0	235.4
YML014W	XIII	YML014W	+	243225	244064	840	0.475	FALSE	-0.003883	0.9976	NA	2.055	0.974	0	2.99	499.9	241.2	0	737.3
YDL222C	IV	YDL222C	-	60872	61801	930	0.4946	FALSE	-0.003295	0.9976	NA	3.083	0.974	4.01	0	677.3	217.8	899.8	0
YDR294C	IV	YDR294C	-	1050459	1052228	1770	0.4169	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	228.9	118.2	116.6
YIL132C	IX	YIL132C	-	99860	100501	642	0.3769	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	631.1	325.9	321.6
YHR062C	VIII	YHR062C	-	222877	223758	882	0.4456	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	459.4	237.2	234.1
YHR180W	VIII	YHR180W	+	465178	465669	492	0.4126	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	823.5	425.2	419.6
YJR050W	X	YJR050W	+	528697	529404	708	0.3927	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	572.3	295.5	291.6
YKL215C	XI	YKL215C	-	26827	30687	3861	0.4012	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	104.9	54.18	53.47
YKL112W	XI	YKL112W	+	226570	228765	2196	0.3962	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	184.5	95.27	94.01
YKL026C	XI	YKL026C	-	389380	389883	504	0.375	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	803.9	415.1	409.6
YNR064C	XIV	YNR064C	-	749136	750008	873	0.4089	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	464.1	239.6	236.5
YOR047C	XV	YOR047C	-	416347	417681	1335	0.3843	FALSE	0.004454	0.9977	NA	0	1.948	1.003	0.9966	0	303.5	156.7	154.6
YER088C	V	YER088C	-	333176	335188	2013	0.4536	FALSE	0.002785	0.9978	NA	1.028	3.896	1.003	3.986	104.3	402.6	103.9	410.2
Q0105	MT	Q0105	+	36540; 37723; 39141; 40841; 42508; 43297	36954; 37736; 39217; 41090; 42558; 43647	1158	0.2772	FALSE	0.003877	0.998	NA	0	1.948	0	1.993	0	349.9	0	356.5
YER021W	V	YER021W	+	196948	198519	1572	0.3696	FALSE	0.003877	0.998	NA	0	1.948	0	1.993	0	257.8	0	262.6
YGL170C	VII	YGL170C	-	184153	185394	1242	0.3583	FALSE	0.003877	0.998	NA	0	1.948	0	1.993	0	326.2	0	332.4
YGL022W	VII	YGL022W	+	452404	454560	2157	0.4525	FALSE	0.003877	0.998	NA	0	1.948	0	1.993	0	187.8	0	191.4
YMR035W	XIII	YMR035W	+	341142	341675	534	0.4307	FALSE	0.003877	0.998	NA	0	1.948	0	1.993	0	758.8	0	773.2
YMR066W	XIII	YMR066W	+	401541	404237	2697	0.3385	FALSE	0.003877	0.998	NA	0	1.948	0	1.993	0	150.2	0	153.1
YOR377W	XV	YOR377W	+	1046226	1047803	1578	0.3771	FALSE	0.003877	0.998	NA	0	1.948	0	1.993	0	256.8	0	261.6
YNL125C	XIV	YNL125C	-	390146	392167	2022	0.4362	FALSE	-0.002755	0.9983	NA	2.055	0.974	3.008	0	207.7	100.2	310.4	0
YOR156C	XV	YOR156C	-	628360	630540	2181	0.3966	FALSE	-0.002693	0.9983	NA	2.055	0.974	3.008	0	192.5	92.89	287.8	0
YPR029C	XVI	YPR029C	-	624469	626967	2499	0.3621	FALSE	-0.002626	0.9984	NA	2.055	0.974	3.008	0	168	81.07	251.1	0
YAL042C-A	I	YAL042C-A	-	61231	61608	378	0.4788	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	555.4	0	0	546.1
YBL103C	II	YBL103C	-	22076	23536	1461	0.397	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	143.7	0	0	141.3
YBL041W	II	YBL041W	+	141247	141972	726	0.4146	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	289.2	0	0	284.4
YBL029C-A	II	YBL029C-A	-	164488	164772	285	0.4	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	736.7	0	0	724.4
YBL008W	II	YBL008W	+	209653	212175	2523	0.3956	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	83.22	0	0	81.82
YBR012W-B	II	YBR012W-B	+	259869; 261175	261173; 265140	5271	0.3832	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	39.83	0	0	39.17
YBR015C	II	YBR015C	-	267710	269503	1794	0.4164	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	117	0	0	115.1
YBR027C	II	YBR027C	-	294024	294356	333	0.3423	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	630.5	0	0	619.9
YBR167C	II	YBR167C	-	571468	571890	423	0.3617	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	496.3	0	0	488
LSR1	II	LSR1	-	680688	681862	1175	0.4085	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	178.7	0	0	175.7
YCL074W	III	YCL074W	+	2824	3750	927	0.4358	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	226.5	0	0	222.7
YCL032W	III	YCL032W	+	63441	64481	1041	0.4371	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	201.7	0	0	198.3
YDL226C	IV	YDL226C	-	51115	52173	1059	0.4372	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	198.3	0	0	194.9
YDL209C	IV	YDL209C	-	86207	87226	1020	0.401	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	205.8	0	0	202.4
YDL189W	IV	YDL189W	+	122216	123589	1374	0.3996	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	152.8	0	0	150.2
YDL100C	IV	YDL100C	-	282112	283176	1065	0.3972	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	197.1	0	0	193.8
YDL090C	IV	YDL090C	-	295034	296329	1296	0.3989	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	162	0	0	159.3
YDR131C	IV	YDR131C	-	716790	718460	1671	0.3555	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	125.6	0	0	123.5
YDR198C	IV	YDR198C	-	852533	853972	1440	0.3625	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	145.8	0	0	143.4
YDR201W	IV	YDR201W	+	856317	856814	498	0.4016	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	421.6	0	0	414.5
YDR266C	IV	YDR266C	-	1000104	1002023	1920	0.3854	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	109.3	0	0	107.5
YDR361C	IV	YDR361C	-	1195412	1196263	852	0.3697	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	246.4	0	0	242.3
YDR364C	IV	YDR364C	-	1202843	1204210	1368	0.3867	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	153.5	0	0	150.9
YDR412W	IV	YDR412W	+	1294693	1295400	708	0.3842	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	296.5	0	0	291.6
YDR477W	IV	YDR477W	+	1412373	1414274	1902	0.3954	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	110.4	0	0	108.5
YDR504C	IV	YDR504C	-	1456311	1456694	384	0.263	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	546.7	0	0	537.6
YIL164C	IX	YIL164C	-	34087	34686	600	0.4783	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	349.9	0	0	344.1
YIL130W	IX	YIL130W	+	102782	105676	2895	0.3672	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	72.52	0	0	71.31
YIL115C	IX	YIL115C	-	144327	148709	4383	0.3943	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	47.9	0	0	47.1
YIR038C	IX	YIR038C	-	423809	424513	705	0.4099	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	297.8	0	0	292.8
Q0182	MT	Q0182	+	65770	66174	405	0.2617	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	518.4	0	0	509.7
YEL065W	V	YEL065W	+	27657	29543	1887	0.4006	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	111.3	0	0	109.4
YEL042W	V	YEL042W	+	73771	75327	1557	0.4098	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	134.8	0	0	132.6
YEL031W	V	YEL031W	+	90258	93905	3648	0.3934	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	57.55	0	0	56.59
YER006C-A	V	YER006C-A	-	164344	164661	318	0.3239	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	660.2	0	0	649.2
YER014C-A	V	YER014C-A	-	183731; 184678	184169; 184700	462	0.4437	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	454.4	0	0	446.8
YER071C	V	YER071C	-	301947	302327	381	0.3333	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	551.1	0	0	541.8
YER094C	V	YER094C	-	348729	349346	618	0.466	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	339.7	0	0	334
SCR1	V	SCR1	+	441987	442508	522	0.5498	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	402.2	0	0	395.5
YER142C	V	YER142C	-	455146	456036	891	0.3625	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	235.6	0	0	231.7
YER154W	V	YER154W	+	475020	476228	1209	0.4665	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	173.7	0	0	170.8
YGL148W	VII	YGL148W	+	226399	227529	1131	0.4766	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	185.6	0	0	182.5
YGL002W	VII	YGL002W	+	494517	495167	651	0.3825	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	322.5	0	0	317.1
YGR003W	VII	YGR003W	+	500132	502366	2235	0.357	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	93.94	0	0	92.37
YGR005C	VII	YGR005C	-	504657	505859	1203	0.3924	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	174.5	0	0	171.6
YGR056W	VII	YGR056W	+	601661	604447	2787	0.3771	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	75.33	0	0	74.07
YGR079W	VII	YGR079W	+	640720	641832	1113	0.4537	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	188.6	0	0	185.5
YGR084C	VII	YGR084C	-	647123	648142	1020	0.3951	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	205.8	0	0	202.4
YGR109W-A	VII	YGR109W-A	+	707610	708482	873	0.3975	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	240.5	0	0	236.5
YGR285C	VII	YGR285C	-	1061852	1063153	1302	0.4424	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	161.3	0	0	158.6
YHL028W	VIII	YHL028W	+	48763	50580	1818	0.4521	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	115.5	0	0	113.6
YHR086W	VIII	YHR086W	+	278153	279724	1572	0.4071	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	133.6	0	0	131.3
YHR153C	VIII	YHR153C	-	402086	402682	597	0.3601	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	351.7	0	0	345.8
YJL201W	X	YJL201W	+	54379	56178	1800	0.3667	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	116.6	0	0	114.7
YJL184W	X	YJL184W	+	83448	83819	372	0.4919	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	564.4	0	0	554.9
YJL138C	X	YJL138C	-	153504	154691	1188	0.404	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	176.7	0	0	173.8
YJL133W	X	YJL133W	+	160619	161563	945	0.4349	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	222.2	0	0	218.5
YJL109C	X	YJL109C	-	212000	217309	5310	0.3554	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	39.54	0	0	38.88
YJR091C	X	YJR091C	-	595061	598336	3276	0.4054	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	64.09	0	0	63.02
YJR150C	X	YJR150C	-	708811	709707	897	0.4638	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	234.1	0	0	230.1
YKL206C	XI	YKL206C	-	49006	49809	804	0.4104	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	261.1	0	0	256.8
YKL130C	XI	YKL130C	-	195288	196028	741	0.3779	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	283.3	0	0	278.6
YKL127W	XI	YKL127W	+	203541	205253	1713	0.4098	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	122.6	0	0	120.5
YKL103C	XI	YKL103C	-	246138	247682	1545	0.4395	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	135.9	0	0	133.6
YKL048C	XI	YKL048C	-	347214	349136	1923	0.3822	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	109.2	0	0	107.4
YKL044W	XI	YKL044W	+	356322	356642	321	0.3894	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	654.1	0	0	643.1
YLR051C	XII	YLR051C	-	246324	246977	654	0.3807	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	321	0	0	315.7
YLR088W	XII	YLR088W	+	316107	317951	1845	0.3767	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	113.8	0	0	111.9
YLR133W	XII	YLR133W	+	408445	410193	1749	0.4117	FALSE	-0.004009	0.9984	NA	1.028	0	0	0.9966	120	0	0	118
